id,instance,goal,result,duration,verdict,corr_result
1,aba_500_0.1_5_5_2.aba,s278,NO,25.54,corr,NO
2,aba_25_0.1_5_10_8.aba,s2,YES,0.21,corr,YES
3,aba_500_0.3_5_5_5.aba,s330,,600.0,TIMEOUT,NO
4,aba_25_0.1_5_10_9.aba,s2,YES,0.18,corr,YES
5,aba_100_0.1_10_5_2.aba,s4,NO,115.24,corr,NO
6,aba_25_0.1_10_10_1.aba,s1,NO,0.25,corr,NO
7,aba_500_0.1_10_10_8.aba,s370,YES,6.32,corr,YES
8,aba_100_0.3_5_10_6.aba,s95,YES,0.53,corr,YES
9,aba_5000_0.1_10_10_0.aba,s3688,,600.0,TIMEOUT,NO
10,aba_100_0.1_10_10_5.aba,s55,YES,1.62,corr,YES
11,aba_500_0.3_10_10_2.aba,s288,,600.0,TIMEOUT,NO
12,aba_500_0.3_10_10_6.aba,s301,,600.0,TIMEOUT,NO
13,aba_100_0.3_10_5_0.aba,s16,,600.0,TIMEOUT,YES
14,aba_5000_0.1_5_5_1.aba,s1655,,600.0,TIMEOUT,NO
15,aba_100_0.1_5_5_0.aba,s8,YES,0.33,corr,YES
16,aba_100_0.3_5_10_2.aba,s15,NO,2.03,corr,NO
17,aba_100_0.3_5_5_4.aba,s59,YES,1.83,corr,YES
18,aba_2000_0.3_10_10_5.aba,s1410,,600.0,TIMEOUT,YES
19,aba_25_0.1_10_5_8.aba,s13,NO,1.13,corr,NO
20,aba_5000_0.3_10_10_0.aba,s3055,,600.0,TIMEOUT,?
21,aba_2000_0.1_10_5_3.aba,s1837,,600.0,TIMEOUT,YES
22,aba_25_0.1_10_5_2.aba,s2,NO,0.29,corr,NO
23,aba_2000_0.3_10_10_4.aba,s1968,,600.0,TIMEOUT,NO
24,aba_25_0.3_5_10_3.aba,s1,NO,0.51,corr,NO
25,aba_500_0.1_5_10_5.aba,s488,YES,3.35,corr,YES
26,aba_100_0.1_5_5_9.aba,s36,YES,0.56,corr,YES
27,aba_5000_0.1_10_5_7.aba,s2541,,600.0,TIMEOUT,YES
28,aba_5000_0.1_5_5_5.aba,s1826,,600.0,TIMEOUT,NO
29,aba_5000_0.1_5_10_7.aba,s241,YES,160.88,corr,YES
30,aba_2000_0.3_5_10_5.aba,s1338,YES,16.25,corr,YES
31,aba_2000_0.3_5_10_7.aba,s153,YES,18.48,corr,YES
32,aba_500_0.1_5_10_3.aba,s120,YES,4.07,corr,YES
33,aba_2000_0.3_10_10_3.aba,s1006,,600.0,TIMEOUT,NO
34,aba_5000_0.3_5_10_4.aba,s1088,YES,174.83,corr,YES
35,aba_25_0.1_5_10_2.aba,s2,YES,0.23,corr,YES
36,aba_500_0.3_10_5_5.aba,s280,,600.0,TIMEOUT,YES
37,aba_100_0.1_5_10_7.aba,s1,NO,2.78,corr,NO
38,aba_2000_0.1_5_5_7.aba,s130,,600.0,TIMEOUT,NO
39,aba_100_0.1_5_10_0.aba,s88,YES,0.56,corr,YES
40,aba_100_0.1_5_10_2.aba,s2,YES,0.3,corr,YES
41,aba_5000_0.1_5_10_4.aba,s2948,YES,310.95,corr,YES
42,aba_100_0.1_10_5_0.aba,s78,,600.0,TIMEOUT,NO
43,aba_2000_0.1_5_5_1.aba,s849,YES,130.42,corr,YES
44,aba_25_0.1_5_10_4.aba,s1,YES,0.17,corr,YES
45,aba_2000_0.1_5_10_2.aba,s159,YES,25.19,corr,YES
46,aba_25_0.3_5_5_6.aba,s7,YES,0.3,corr,YES
47,aba_5000_0.3_5_10_1.aba,s1714,,600.0,TIMEOUT,NO
48,aba_100_0.1_5_5_1.aba,s63,NO,3.03,corr,NO
49,aba_500_0.1_5_10_4.aba,s20,YES,1.88,corr,YES
50,aba_25_0.3_10_10_5.aba,s19,NO,5.52,corr,NO
51,aba_5000_0.3_5_5_8.aba,s3456,,600.0,TIMEOUT,?
52,aba_2000_0.3_5_5_9.aba,s1266,,600.0,TIMEOUT,NO
53,aba_2000_0.3_10_5_0.aba,s1804,,600.0,TIMEOUT,YES
54,aba_5000_0.3_5_10_6.aba,s1091,,600.0,TIMEOUT,NO
55,aba_2000_0.1_5_10_4.aba,s97,YES,19.4,corr,YES
56,aba_25_0.1_10_5_7.aba,s22,NO,1.41,corr,NO
57,aba_25_0.1_10_5_3.aba,s18,NO,2.77,corr,NO
58,aba_25_0.3_10_5_6.aba,s5,NO,7.87,corr,NO
59,aba_2000_0.3_10_5_7.aba,s1163,,600.0,TIMEOUT,YES
60,aba_25_0.1_5_5_4.aba,s1,YES,0.24,corr,YES
61,aba_25_0.3_5_10_5.aba,s19,NO,0.75,corr,NO
62,aba_2000_0.1_5_10_7.aba,s198,YES,20.15,corr,YES
63,aba_100_0.3_5_10_7.aba,s34,NO,3.68,corr,NO
64,aba_5000_0.3_10_10_5.aba,s4437,,600.0,TIMEOUT,?
65,aba_25_0.1_10_5_6.aba,s10,YES,1.63,corr,YES
66,aba_25_0.3_5_5_5.aba,s14,NO,1.22,corr,NO
67,aba_2000_0.1_5_5_8.aba,s596,NO,310.85,corr,NO
68,aba_25_0.1_5_10_0.aba,s25,YES,0.36,corr,YES
69,aba_25_0.3_10_10_8.aba,s12,NO,1.14,corr,NO
70,aba_100_0.3_5_10_3.aba,s2,YES,0.18,corr,YES
71,aba_25_0.1_10_5_9.aba,s2,YES,0.31,corr,YES
72,aba_500_0.3_5_10_8.aba,s375,NO,27.34,corr,NO
73,aba_5000_0.3_10_10_6.aba,s746,,600.0,TIMEOUT,?
74,aba_2000_0.1_10_5_9.aba,s39,,600.0,TIMEOUT,NO
75,aba_500_0.1_5_10_1.aba,s166,YES,5.11,corr,YES
76,aba_25_0.1_5_10_5.aba,s2,YES,0.24,corr,YES
77,aba_25_0.3_10_5_9.aba,s21,NO,5.47,corr,NO
78,aba_25_0.1_10_10_3.aba,s15,YES,0.19,corr,YES
79,aba_100_0.3_10_5_3.aba,s93,,600.0,TIMEOUT,NO
80,aba_5000_0.3_5_5_3.aba,s1482,,600.0,TIMEOUT,?
81,aba_500_0.3_5_10_2.aba,s274,YES,3.76,corr,YES
82,aba_25_0.1_10_5_1.aba,s16,NO,25.59,corr,NO
83,aba_25_0.1_10_5_4.aba,s13,NO,3.3,corr,NO
84,aba_25_0.3_5_5_4.aba,s1,NO,0.67,corr,NO
85,aba_500_0.1_5_10_2.aba,s24,YES,1.16,corr,YES
86,aba_5000_0.3_5_5_1.aba,s1538,,600.0,TIMEOUT,?
87,aba_500_0.1_10_5_2.aba,s129,,600.0,TIMEOUT,NO
88,aba_2000_0.3_5_10_3.aba,s1175,YES,58.55,corr,YES
89,aba_25_0.3_5_10_0.aba,s3,YES,0.25,corr,YES
90,aba_500_0.1_5_5_7.aba,s464,YES,6.21,corr,YES
91,aba_25_0.3_5_10_9.aba,s5,YES,0.33,corr,YES
92,aba_5000_0.3_5_10_5.aba,s1185,,600.0,TIMEOUT,NO
93,aba_2000_0.1_5_5_4.aba,s1357,YES,65.47,corr,YES
94,aba_2000_0.3_5_5_6.aba,s391,,600.0,TIMEOUT,YES
95,aba_2000_0.3_10_5_1.aba,s1941,,600.0,TIMEOUT,YES
96,aba_5000_0.1_5_10_0.aba,s402,,600.0,TIMEOUT,NO
97,aba_500_0.3_5_5_6.aba,s475,NO,232.71,corr,NO
98,aba_100_0.1_10_10_8.aba,s1,YES,0.36,corr,YES
99,aba_5000_0.3_10_5_0.aba,s4558,,600.0,TIMEOUT,YES
100,aba_25_0.3_5_5_2.aba,s3,NO,0.37,corr,NO
101,aba_100_0.1_5_10_9.aba,s5,YES,0.24,corr,YES
102,aba_5000_0.3_5_5_6.aba,s3728,,600.0,TIMEOUT,?
103,aba_500_0.1_5_5_6.aba,s386,NO,27.84,corr,NO
104,aba_500_0.1_10_10_6.aba,s228,NO,59.63,corr,NO
105,aba_100_0.3_5_5_2.aba,s46,NO,117.73,corr,NO
106,aba_25_0.3_5_5_7.aba,s11,NO,0.18,corr,NO
107,aba_500_0.1_10_10_0.aba,s42,NO,49.03,corr,NO
108,aba_5000_0.3_5_10_2.aba,s1215,YES,305.84,corr,YES
109,aba_100_0.1_10_5_1.aba,s39,,600.0,TIMEOUT,NO
110,aba_500_0.3_5_5_3.aba,s281,,600.0,TIMEOUT,NO
111,aba_2000_0.1_10_5_5.aba,s116,,600.0,TIMEOUT,NO
112,aba_500_0.1_5_5_3.aba,s488,NO,26.85,corr,NO
113,aba_25_0.3_10_10_6.aba,s5,YES,0.39,corr,YES
114,aba_100_0.1_5_10_1.aba,s8,YES,0.34,corr,YES
